Timestamp,Enter Your Password,Your mean shoe size In the European Continental system,Which program are you studying,Your height in International inches,Why are you taking this course,How many letters are there in the word Seattle
2025-09-01T23:40:11+09:00,&DAMIN#2025&,39,"MSc Software Design, ITU",63.3,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7
2025-09-02T02:54:57+09:00,&DAMIN#2025&,36,"MSc Software Design, ITU",67,It is the most exciting,7
2025-09-02T06:08:50+09:00,&DAMIN#2025&,43,"MSc Digitial Innovation and Management, ITU",71,It is the most exciting;It'll give me commercially useful skills,7
2025-09-02T10:44:19+09:00,&DAMIN#2025&,43,"MSc Software Design, ITU",71,It is the most exciting;It'll give me commercially useful skills,7
2025-09-02T22:05:53+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU",66.92917,"It is the most exciting;This was mandatory for me;I love the idea of data and the word ""mining"" combined ",7
2025-09-02T22:49:19+09:00,&DAMIN#2025&,45,"MSc Software Design, ITU",72.835,This was mandatory for me,7
2025-09-02T23:45:13+09:00,&DAMIN#2025&,42,"MSc Software Design, ITU",68.11,This was mandatory for me,7
2025-09-03T00:15:12+09:00,&DAMIN#2025&,37,"MSc Software Design, ITU",165,"I'm not sure, let's see how it works out;It'll give me commercially useful skills",7
2025-09-03T00:21:59+09:00,&DAMIN#2025&,42,"MSc Software Design, ITU",68,It is the most exciting;It'll give me commercially useful skills,6
2025-09-03T01:17:55+09:00,&DAMIN#2025&,43,MSc Elsewhere,188,It is the most exciting;It'll give me commercially useful skills,7
2025-09-03T01:19:11+09:00,&DAMIN#2025&,43,MSc Elsewhere,"70,1",It is the most exciting;It'll give me commercially useful skills,7
2025-09-03T01:20:37+09:00,&DAMIN#2025&,44,"MSc Software Design, ITU",73,It is the most exciting,7
2025-09-03T02:38:07+09:00,&DAMIN#2025&,"38,5","MSc Digitial Innovation and Management, ITU",164,It is the most exciting,7
2025-09-03T03:19:01+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU","65,7",It is the most exciting,7
2025-09-03T03:19:09+09:00,&DAMIN#2025&,42,MSc Digital Design,71,It'll give me commercially useful skills,7
2025-09-03T03:20:05+09:00,&DAMIN#2025&,44,"MSc Software Design, ITU",73,This was mandatory for me,7
2025-09-03T03:20:48+09:00,&DAMIN#2025&,43,MSc Elsewhere,73.5,It is the most exciting,7
2025-09-03T03:21:21+09:00,&DAMIN#2025&,46,MSc Elsewhere,72,"I'm not sure, let's see how it works out",7
2025-09-03T03:32:24+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU","64,9606",It is the most exciting,7
2025-09-03T03:32:52+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU",64.6,"I'm not sure, let's see how it works out;data skills",7
2025-09-03T03:33:19+09:00,&DAMIN#2025&,46,"MSc Software Design, ITU",6''2,"It is the most exciting;I'm not sure, let's see how it works out",Seattle
2025-09-03T03:39:15+09:00,&DAMIN#2025&,46,"MSc Software Design, ITU",74.8,This was mandatory for me,7
2025-09-03T03:46:16+09:00,&DAMIN#2025&,39,"MSc Software Design, ITU",65,It is the most exciting,7
2025-09-03T03:48:12+09:00,&DAMIN#2025&,44,"MSc Software Design, ITU",72.44,It is the most exciting,7
2025-09-03T04:26:15+09:00,&DAMIN#2025&,43,"MSc Software Design, ITU",74.41,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7
2025-09-03T05:21:31+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU",65.7,It is the most exciting,7
2025-09-03T08:02:44+09:00,&DAMIN#2025&,40,"MSc Software Design, ITU",66.14,It is the most exciting;It is part of my specialization,7
2025-09-04T00:39:09+09:00,&DAMIN#2025&,44,"MSc Software Design, ITU",72.44,It is the most exciting,7
2025-09-04T02:49:17+09:00,&DAMIN#2025&,43,"MSc Software Design, ITU",70'1,It'll give me commercially useful skills,5
2025-09-04T05:12:54+09:00,&DAMIN#2025&,43,MSc Elsewhere,"68,8976",This was mandatory for me,7
2025-09-04T10:05:09+09:00,&DAMIN#2025&,"40,5","MSc Software Design, ITU",67,It is the most exciting;This was mandatory for me,7
2025-09-05T00:56:31+09:00,&DAMIN#2025&,41,"MSc Software Design, ITU",71.16,It is the most exciting;This was mandatory for me;It'll give me commercially useful skills,7
2025-09-05T23:42:29+09:00,&DAMIN#2025&,38,"MSc Software Design, ITU",62.99,This was mandatory for me,7
2025-09-06T00:26:16+09:00,&DAMIN#2025&,44,"MSc Software Design, ITU",74,It is the most exciting,7
2025-09-06T02:29:35+09:00,&DAMIN#2025&,43,"MSc Software Design, ITU",70,It is the most exciting;It'll give me commercially useful skills,7
2025-09-06T06:03:33+09:00,&DAMIN#2025&,- 41,"MSc Software Design, ITU",1 ton,My favorite ice cream is cheese pie,180 degrees
2025-09-09T22:03:41+09:00,&DAMIN#2025&,45,MSc Elsewhere,"73,622",It is the most exciting,7
