Timestamp,Your mean shoe size In the European Continental system,Which program are you studying,Your height in International inches,Why are you taking this course,How many letters are there in the word Seattle,Year,Enter Your Password
26/08/2020 08:32:49,44.0,"MSc Software Design, ITU",75.59,It'll give me business skills,,2023,#DAMIN&2023#
26/08/2020 08:33:16,38.0,"MSc Software Design, ITU",167.0,"It is the most exciting, This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:22,44.0,"MSc Software Design, ITU",192.0,This was mandatory for me,,2023,#DAMIN&2023#
26/08/2020 08:33:24,38.0,"MSc Software Design, ITU",66.0,"It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:25,44.0,"MSc Software Design, ITU",184.0,It'll give me business skills,,2023,#DAMIN&2023#
26/08/2020 08:33:28,38.0,"MSc Software Design, ITU",64.0,This was mandatory for me,,2023,#DAMIN&2023#
26/08/2020 08:33:29,45.0,"MSc Software Design, ITU",72.0,It'll give me business skills,,2023,#DAMIN&2023#
26/08/2020 08:33:32,42.0,"MSc Software Design, ITU",71.65,"It is the most exciting, This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:33,37.5,"MSc Software Design, ITU",70.0,"This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:41,42.5,"MSc Software Design, ITU",70.0787402,"The other courses were even less attractive, It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:43,39.0,"MSc Software Design, ITU",5.6,"This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:46,44.0,"MSc Software Design, ITU",75.984,"It is the most exciting, This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:46,39.0,"MSc Software Design, ITU",65.0,This was mandatory for me,,2023,#DAMIN&2023#
26/08/2020 08:33:49,46.0,"MSc Software Design, ITU",72.0,"It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:33:51,44.0,"MSc Software Design, ITU",74.0,It is the most exciting,,2023,#DAMIN&2023#
26/08/2020 08:33:55,37.0,"MSc Software Design, ITU",63.4,"It is the most exciting, This was mandatory for me",,2023,#DAMIN&2023#
26/08/2020 08:33:58,42.5,"MSc Software Design, ITU",71.3,"It is the most exciting, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:03,45.0,"MSc Computer Science, ITU",187.0,Leon asked me to help out,,2023,#DAMIN&2023#
26/08/2020 08:34:03,39.0,"MSc Software Design, ITU",174.0,"It is the most exciting, This was mandatory for me, It'll give me business skills",,2023,#DAMIN&2023#
26/08/2020 08:34:04,39.0,"MSc Software Design, ITU",69.0,It is the most exciting,,2023,#DAMIN&2023#
26/08/2020 08:34:09,44.0,"MSc Software Design, ITU",73.0,It is the most exciting,,2023,#DAMIN&2023#
